data,tempo resposta
"2018-04-21T23:22:32.983Z",448
"2018-04-21T23:22:33.431Z",218
"2018-04-21T23:22:33.649Z",214
"2018-04-21T23:22:33.863Z",212
"2018-04-21T23:22:34.075Z",212
"2018-04-21T23:22:34.287Z",214
"2018-04-21T23:22:34.501Z",214
"2018-04-21T23:22:34.715Z",211
"2018-04-21T23:22:34.926Z",211
"2018-04-21T23:22:35.137Z",220
"2018-04-21T23:22:35.357Z",219
"2018-04-21T23:22:35.576Z",212
"2018-04-21T23:22:35.788Z",212
"2018-04-21T23:22:36.000Z",212
"2018-04-21T23:22:36.212Z",211
"2018-04-21T23:22:36.423Z",212
"2018-04-21T23:22:36.635Z",217
"2018-04-21T23:22:36.852Z",210
"2018-04-21T23:22:37.062Z",209
"2018-04-21T23:22:37.271Z",211
"2018-04-21T23:22:37.482Z",212
"2018-04-21T23:22:37.694Z",210
"2018-04-21T23:22:37.904Z",212
"2018-04-21T23:22:38.116Z",212
"2018-04-21T23:22:38.328Z",215
"2018-04-21T23:22:38.543Z",212
"2018-04-21T23:22:38.755Z",212
"2018-04-21T23:22:38.967Z",211
"2018-04-21T23:22:39.178Z",215
"2018-04-21T23:22:39.393Z",221
"2018-04-21T23:22:39.614Z",212
"2018-04-21T23:22:39.826Z",209
"2018-04-21T23:22:40.035Z",216
"2018-04-21T23:22:40.251Z",213
"2018-04-21T23:22:40.464Z",214
"2018-04-21T23:22:40.678Z",213
"2018-04-21T23:22:40.891Z",212
"2018-04-21T23:22:41.103Z",211
"2018-04-21T23:22:41.314Z",216
"2018-04-21T23:22:41.530Z",217
"2018-04-21T23:22:41.747Z",211
"2018-04-21T23:22:41.958Z",211
"2018-04-21T23:22:42.169Z",210
"2018-04-21T23:22:42.379Z",210
"2018-04-21T23:22:42.589Z",212
"2018-04-21T23:22:42.801Z",214
"2018-04-21T23:22:43.015Z",210
"2018-04-21T23:22:43.225Z",213
"2018-04-21T23:22:43.438Z",211
"2018-04-21T23:22:43.649Z",214
"2018-04-21T23:22:43.863Z",210
"2018-04-21T23:22:44.073Z",216
"2018-04-21T23:22:44.289Z",210
"2018-04-21T23:22:44.499Z",213
"2018-04-21T23:22:44.712Z",211
"2018-04-21T23:22:44.923Z",215
"2018-04-21T23:22:45.138Z",217
"2018-04-21T23:22:45.355Z",209
"2018-04-21T23:22:45.564Z",219
"2018-04-21T23:22:45.783Z",214
"2018-04-21T23:22:45.997Z",211
"2018-04-21T23:22:46.208Z",213
"2018-04-21T23:22:46.421Z",211
"2018-04-21T23:22:46.632Z",213
"2018-04-21T23:22:46.845Z",212
"2018-04-21T23:22:47.057Z",212
"2018-04-21T23:22:47.269Z",209
"2018-04-21T23:22:47.478Z",213
"2018-04-21T23:22:47.691Z",217
"2018-04-21T23:22:47.908Z",231
"2018-04-21T23:22:48.139Z",211
"2018-04-21T23:22:48.350Z",214
"2018-04-21T23:22:48.564Z",213
"2018-04-21T23:22:48.777Z",210
"2018-04-21T23:22:48.987Z",216
"2018-04-21T23:22:49.203Z",211
"2018-04-21T23:22:49.414Z",213
"2018-04-21T23:22:49.627Z",210
"2018-04-21T23:22:49.837Z",210
"2018-04-21T23:22:50.047Z",212
"2018-04-21T23:22:50.259Z",220
"2018-04-21T23:22:50.479Z",211
"2018-04-21T23:22:50.690Z",209
"2018-04-21T23:22:50.899Z",212
"2018-04-21T23:22:51.111Z",218
"2018-04-21T23:22:51.329Z",211
"2018-04-21T23:22:51.540Z",214
"2018-04-21T23:22:51.754Z",211
"2018-04-21T23:22:51.965Z",211
"2018-04-21T23:22:52.176Z",214
"2018-04-21T23:22:52.390Z",219
"2018-04-21T23:22:52.609Z",210
"2018-04-21T23:22:52.819Z",213
"2018-04-21T23:22:53.032Z",211
"2018-04-21T23:22:53.243Z",212
"2018-04-21T23:22:53.455Z",211
"2018-04-21T23:22:53.666Z",212
"2018-04-21T23:22:53.878Z",212
"2018-04-21T23:22:54.090Z",215
"2018-04-21T23:22:54.305Z",237
